timestamp,motor1,motor2,motor3,motor4,motor5,motor6,motor7,motor8,motor9,motor10,marker_id,x,y,z,qx,qy,qz,qw
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,160.0,0,-0.17162687722252662,0.23564749101134647,0.7028019660649749,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-200.0,0,-0.17531395998181454,0.23881829623152684,0.7092661265512877,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-560.0,0,-0.17900104274110246,0.24198910145170718,0.7157302870376007,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-920.0,0,-0.18268812550039037,0.24515990667188756,0.7221944475239135,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-1280.0,0,-0.18637520825967827,0.24833071189206793,0.7286586080102264,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-1640.0,0,-0.19006229101896618,0.2515015171122483,0.7351227684965392,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-2000.0,0,-0.1937493737782541,0.25467232233242865,0.7415869289828522,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-2360.0,0,-0.19743645653754202,0.257843127552609,0.7480510894691651,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-2720.0,0,-0.20112353929682994,0.2610139327727894,0.7545152499554779,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-3080.0,0,-0.20481062205611786,0.26418473799296976,0.7609794104417908,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-3440.0,0,-0.20849770481540578,0.26735554321315014,0.7674435709281037,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-3800.0,0,-0.21218478757469367,0.27052634843333045,0.7739077314144166,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-4160.0,0,-0.21587187033398159,0.2736971536535108,0.7803718919007294,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-4520.0,0,-0.2195589530932695,0.2768679588736912,0.7868360523870424,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-4880.0,0,-0.22324603585255742,0.2800387640938716,0.7933002128733553,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-5240.0,0,-0.22693311861184534,0.28320956931405195,0.7997643733596681,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-5600.0,0,-0.23062020137113326,0.2863803745342323,0.806228533845981,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-5960.0,0,-0.23430728413042118,0.2895511797544127,0.8126926943322939,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-6320.0,0,-0.2379943668897091,0.29272198497459306,0.8191568548186068,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-6680.0,0,-0.24168144964899702,0.29589279019477344,0.8256210153049197,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-7040.0,0,-0.24536853240828493,0.29906359541495375,0.8320851757912325,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-7400.0,0,-0.24905561516757285,0.3022344006351341,0.8385493362775455,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-7760.0,0,-0.25274269792686077,0.3054052058553145,0.8450134967638583,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-8120.0,0,-0.25642978068614863,0.30857601107549487,0.8514776572501712,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-8480.0,0,-0.2601168634454366,0.31174681629567524,0.8579418177364841,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-8840.0,0,-0.26380394620472447,0.3149176215158556,0.864405978222797,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-9200.0,0,-0.26749102896401245,0.318088426736036,0.8708701387091098,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-9560.0,0,-0.2711781117233003,0.3212592319562163,0.8773342991954227,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
1765625671.517241,328.97,318.6,222.63,181.58,66.8,72.25,211.64,248.03,95.71,-9920.0,0,-0.2748651944825882,0.32443003717639673,0.8837984596817356,0.9828430441198284,-0.0330297478774753,-0.0591531979385331,0.171550242069383
