timestamp,motor1,motor2,motor3,motor4,motor5,motor6,motor7,motor8,motor9,marker_id,x,y,z,qx,qy,qz,qw
1750593171.7916186,267.3599853515625,265.9599914550781,730.989990234375,299.6199951171875,336.5299987792969,296.9800109863281,147.66000366210938,163.0399932861328,590.0999755859375,0,-0.06150038666668867,-0.22222666974536212,0.6225824843781664,-0.3253763005720035,-0.9259037639655253,0.017477203525718417,0.1911204600702677
1750593171.8415165,267.3599853515625,265.9599914550781,730.989990234375,299.6199951171875,336.5299987792969,296.9800109863281,147.66000366210938,163.0399932861328,590.0999755859375,0,-0.062434298563478874,-0.21944148378948217,0.6218331747771265,-0.3256070284366016,-0.9257172272468916,0.01918446623846826,0.19146705843606124
1750593171.980111,267.3599853515625,265.9599914550781,730.989990234375,299.6199951171875,336.5299987792969,296.9800109863281,147.66000366210938,163.0399932861328,586.9299926757812,0,-0.06098687561977652,-0.21372332538197897,0.6135619570081897,0.3718218221493238,0.8315812050271828,0.3802233560947182,0.16016064279080688
1750593172.420329,267.3599853515625,265.9599914550781,730.989990234375,299.6199951171875,336.5299987792969,296.9800109863281,147.66000366210938,163.0399932861328,586.9299926757812,0,-0.059921850605358526,-0.22286688485973324,0.6231362657617137,0.3678850791917725,0.8451962799608721,0.3555655911909197,0.1545216075810055
1750593175.5473363,267.3599853515625,265.9599914550781,730.989990234375,299.6199951171875,336.5299987792969,296.9800109863281,147.66000366210938,163.0399932861328,586.9299926757812,0,-0.05788078090243239,-0.22227776660800477,0.6228992966880018,0.3683417632341634,0.8458391528067097,0.3541484412955683,0.15316446900209815
1750593178.3829293,267.3599853515625,265.9599914550781,730.989990234375,299.6199951171875,336.5299987792969,296.9800109863281,147.66000366210938,163.0399932861328,497.0199890136719,0,-0.07469771426753587,-0.18765415040710456,0.6109286650829293,-0.4307689058714431,-0.8892752169158079,0.06963615757789765,0.13703482722085253
1750593179.3381138,267.3599853515625,265.9599914550781,730.989990234375,299.6199951171875,336.5299987792969,296.9800109863281,147.66000366210938,163.0399932861328,497.0199890136719,0,-0.0748671996859933,-0.18994821607543608,0.6184204470980841,-0.4252964491990071,-0.8867652457681512,0.06398032158301374,0.1693423976640259
1750593179.383684,267.3599853515625,265.9599914550781,730.989990234375,299.6199951171875,336.5299987792969,296.9800109863281,147.66000366210938,163.0399932861328,497.0199890136719,0,-0.0748671996859933,-0.18994821607543608,0.6184204470980841,-0.4252964491990071,-0.8867652457681512,0.06398032158301374,0.1693423976640259
1750593179.4240894,267.3599853515625,265.9599914550781,730.989990234375,299.6199951171875,336.5299987792969,296.9800109863281,147.66000366210938,163.0399932861328,497.0199890136719,0,-0.0741039555913458,-0.1876100860114247,0.6110469473738716,0.44106806322085745,0.8083242623579363,0.3749866489699601,0.10703206801879439
1750593179.7142515,267.3599853515625,265.9599914550781,730.989990234375,299.6199951171875,336.5299987792969,296.9800109863281,147.66000366210938,163.0399932861328,497.0199890136719,0,-0.07660253892772527,-0.19455241285159822,0.6350513351853464,-0.43359846947145486,-0.8947904544453334,0.05026264275672626,0.09389396492126222
1750593179.7709312,267.3599853515625,265.9599914550781,730.989990234375,299.6199951171875,336.5299987792969,296.9800109863281,147.66000366210938,163.0399932861328,497.0199890136719,0,-0.07656565737525883,-0.19402853161174727,0.6325128595504446,-0.43296949260012274,-0.887640203626539,0.07317533346685741,0.13884400583188006
1750593179.812087,267.3599853515625,265.9599914550781,730.989990234375,299.6199951171875,336.5299987792969,296.9800109863281,147.66000366210938,163.0399932861328,497.0199890136719,0,-0.07660253892772527,-0.19455241285159822,0.6350513351853464,-0.43359846947145486,-0.8947904544453334,0.05026264275672626,0.09389396492126222
1750593179.9029903,267.3599853515625,266.0400085449219,730.989990234375,299.6199951171875,336.5299987792969,296.9800109863281,147.66000366210938,163.0399932861328,497.0199890136719,0,-0.07656565737525883,-0.19402853161174727,0.6325128595504446,-0.43296949260012274,-0.887640203626539,0.07317533346685741,0.13884400583188006
1750593180.3096132,267.3599853515625,265.9599914550781,730.989990234375,299.6199951171875,336.5299987792969,296.9800109863281,147.66000366210938,163.0399932861328,497.0199890136719,0,-0.07660253892772527,-0.19455241285159822,0.6350513351853464,-0.43359846947145486,-0.8947904544453334,0.05026264275672626,0.09389396492126222
