timestamp,motor1,motor2,motor3,motor4,motor5,motor6,motor7,motor8,motor9,chokudo,marker_id,x,y,z,qx,qy,qz,qw
1766366644.782592,356.75,311.57000732421875,238.5399932861328,180.0,72.25,80.51000213623047,239.3300018310547,252.25,107.30999755859375,-522.510009765625,0,-0.19931540137449397,0.2540908879796023,0.7162942138082884,0.978923578783313,-0.04458152545022581,-0.05155766967548656,0.1925173269818459
1766366727.099702,440.510009765625,369.760009765625,288.9800109863281,200.2100067138672,113.12000274658203,125.68000030517578,398.8500061035156,339.260009765625,183.60000610351562,-1241.0999755859375,0,-0.2130797437499142,0.11943247807902982,0.7125983692793212,0.9451144290106345,0.10648691887425271,0.29953857386830507,0.07547115309515699
1766366743.2416375,440.510009765625,387.6000061035156,307.2699890136719,206.4600067138672,132.7100067138672,142.72999572753906,475.75,380.6499938964844,217.27000427246094,-1241.0999755859375,0,-0.18610988967987022,0.04645928240473161,0.7368199905751946,0.9520861770198397,0.1384175004804271,0.2704463661861816,0.035089458604932705
1766366757.0660808,440.510009765625,387.6000061035156,307.2699890136719,206.4600067138672,132.7100067138672,142.72999572753906,475.75,380.8299865722656,217.27000427246094,-2318.989990234375,0,-0.19337429655416621,0.053304910275178495,0.7304313091890513,-0.9888883792954689,-0.1350907835700354,-0.014695112311181336,0.060285215127564094
1766366758.5921512,440.510009765625,387.6000061035156,307.2699890136719,206.4600067138672,132.7100067138672,142.72999572753906,475.75,380.8299865722656,217.27000427246094,-2318.989990234375,0,-0.1954850516647571,0.05377752753308341,0.7389865132012109,0.989064036981127,0.12080927824499163,0.08302776564005983,0.01624312695694987
1766366766.048021,440.510009765625,387.6000061035156,307.2699890136719,206.4600067138672,132.7100067138672,142.72999572753906,475.75,380.8299865722656,217.27000427246094,-3037.239990234375,0,-0.20404744753464338,0.0594297803337429,0.7599521352495515,-0.9857978707590925,-0.1302101231911089,-0.07438316300084995,0.0755977968421351
1766366779.2781415,517.3200073242188,422.04998779296875,338.1199951171875,214.72000122070312,141.77000427246094,154.77999877929688,473.9100036621094,396.1199951171875,236.50999450683594,-3037.239990234375,0,-0.25503872495053626,0.0745002344492964,0.692899583250153,-0.9871635773851806,-0.1556243333763289,-0.03246760242114556,0.015329485910762547
1766366796.5584197,591.239990234375,454.6600036621094,364.1300048828125,222.97999572753906,151.0800018310547,164.27000427246094,473.9100036621094,396.1199951171875,255.41000366210938,-3037.239990234375,0,-0.3036601370402984,0.08692817306462698,0.6696606550048647,0.9145497853215808,0.20218213281802092,0.3362571079051872,0.09824577711355383
1766366814.2048614,590.1900024414062,466.70001220703125,377.489990234375,222.97999572753906,162.60000610351562,168.83999633789062,533.760009765625,451.04998779296875,291.45001220703125,-3037.239990234375,0,-0.2690930688132862,0.02468904224549406,0.6845867950032477,0.9701979069012954,0.22526579148747505,0.089112553465074,0.0055043114738333905
1766366818.6286657,590.1900024414062,466.70001220703125,377.489990234375,222.97999572753906,162.60000610351562,168.83999633789062,533.760009765625,451.04998779296875,291.45001220703125,-3396.360107421875,0,-0.26883781520557926,0.02920146584240383,0.680191568197998,-0.9631995381034144,-0.24512513908549682,-0.09222539157046464,0.060454885124028204
1766366826.1569588,590.1900024414062,466.70001220703125,377.489990234375,222.97999572753906,162.60000610351562,168.83999633789062,533.760009765625,451.1400146484375,291.45001220703125,-4114.68994140625,0,-0.2744315437404544,0.033514845416724955,0.6908834501504518,-0.9633160595941437,-0.24303283335740763,-0.09599717962290294,0.0611698679312858
1766366849.4993365,590.1900024414062,466.70001220703125,377.489990234375,222.97999572753906,162.60000610351562,168.83999633789062,533.760009765625,451.1400146484375,291.45001220703125,-4473.72021484375,0,-0.27757700680627223,0.037492745283509675,0.7003522942876028,-0.9698493593016626,-0.2372958449854615,-0.04361595004938498,0.03435914894289388
1766366866.3713648,653.469970703125,494.2099914550781,400.25,226.75999450683594,167.1699981689453,175.77999877929688,532.969970703125,450.9700012207031,291.45001220703125,-4473.72021484375,0,-0.304615365227392,0.05259759643945347,0.6835169329860438,-0.9571594109704745,-0.2695607819864665,-0.07660427065115605,0.07290152620832886
1766366947.6224337,499.0400085449219,494.2099914550781,408.8699951171875,226.6699981689453,171.64999389648438,178.14999389648438,590.3599853515625,691.4400024414062,447.5400085449219,-7907.259765625,0,0.0,0.0,0.0035842293906810036,0.8801760362066464,0.40886789393850126,0.24053579062182237,0.0161159555653928
1766367513.2189257,498.9599914550781,494.29998779296875,498.69000244140625,226.6699981689453,171.64999389648438,178.14999389648438,589.8300170898438,691.4400024414062,447.5400085449219,-7907.259765625,0,-0.1418219746310691,-0.13719614824705711,0.8539389237420525,0.9239110506973081,0.3826066572627154,0.00028381279086851075,0.0006600514730922531
1766367513.2189257,498.9599914550781,494.29998779296875,498.69000244140625,226.6699981689453,171.64999389648438,178.14999389648438,589.8300170898438,691.4400024414062,447.5400085449219,-7907.259765625,1,-0.15539092186802397,-0.15037365204117,0.8669010225611081,0.7916486633175053,0.34910650528180104,-0.48044694946190064,0.1434843914517847
